행정동_코드_명,기준_년분기_코드,총_유동인구_수,유동인구(만명)
북아현동,20253,22328990.0,2232.9
역삼1동,20231,22048225.0,2204.8
북아현동,20244,21943903.0,2194.4
북아현동,20243,21830027.0,2183.0
역삼1동,20222,21676280.0,2167.6
역삼1동,20232,21645248.0,2164.5
역삼1동,20223,21619561.0,2162.0
역삼1동,20224,21577405.0,2157.7
북아현동,20251,21562913.0,2156.3
역삼1동,20233,21410303.0,2141.0
역삼1동,20241,21202864.0,2120.3
북아현동,20252,21125725.0,2112.6
역삼1동,20253,20900630.0,2090.1
역삼1동,20234,20851949.0,2085.2
역삼1동,20243,20684465.0,2068.4
역삼1동,20251,20637783.0,2063.8
역삼1동,20242,20635074.0,2063.5
역삼1동,20244,20368338.0,2036.8
역삼1동,20221,20158554.0,2015.9
역삼1동,20252,20011130.0,2001.1
북아현동,20234,19132061.0,1913.2
북아현동,20242,18694670.0,1869.5
북아현동,20233,18608472.0,1860.8
길동,20251,18457501.0,1845.8
북아현동,20241,18451748.0,1845.2
길동,20253,18306303.0,1830.6
서교동,20231,18224289.0,1822.4
길동,20252,18157612.0,1815.8
서교동,20234,17985736.0,1798.6
북아현동,20231,17983941.0,1798.4
서교동,20241,17875596.0,1787.6
북아현동,20232,17872169.0,1787.2
서교동,20224,17759583.0,1776.0
길동,20244,17701811.0,1770.2
서교동,20232,17680508.0,1768.1
서교동,20242,17660687.0,1766.1
서교동,20244,17634436.0,1763.4
북아현동,20224,17582013.0,1758.2
길동,20241,17467012.0,1746.7
화곡1동,20231,17456699.0,1745.7
서교동,20233,17450568.0,1745.1
서교동,20222,17396341.0,1739.6
길동,20243,17355779.0,1735.6
서교동,20251,17338634.0,1733.9
서교동,20253,17334585.0,1733.5
서교동,20243,17321631.0,1732.2
서교동,20223,17310749.0,1731.1
길동,20234,17282662.0,1728.3
길동,20231,17266648.0,1726.7
서교동,20252,17202186.0,1720.2
길동,20222,17176390.0,1717.6
길동,20221,17161432.0,1716.1
길동,20232,17059829.0,1706.0
북아현동,20223,17052863.0,1705.3
길동,20223,17008849.0,1700.9
길동,20233,16988146.0,1698.8
화곡1동,20241,16942618.0,1694.3
길동,20224,16941692.0,1694.2
북아현동,20222,16905991.0,1690.6
화곡1동,20251,16737330.0,1673.7
화곡1동,20224,16707796.0,1670.8
화곡1동,20221,16683095.0,1668.3
길동,20242,16678522.0,1667.9
화곡1동,20252,16521390.0,1652.1
화곡1동,20223,16519988.0,1652.0
화곡1동,20253,16469502.0,1647.0
화곡1동,20222,16293622.0,1629.4
화곡1동,20234,16215184.0,1621.5
북아현동,20221,16197860.0,1619.8
화곡1동,20233,16193300.0,1619.3
화곡1동,20243,16154337.0,1615.4
화곡1동,20244,16116876.0,1611.7
화곡1동,20232,16066203.0,1606.6
화곡1동,20242,15761405.0,1576.1
서교동,20221,15454356.0,1545.4
공덕동,20231,15202726.0,1520.3
용신동,20242,14939068.0,1493.9
용신동,20222,14892271.0,1489.2
공덕동,20224,14866522.0,1486.7
용신동,20234,14735309.0,1473.5
용신동,20241,14641295.0,1464.1
용신동,20232,14551614.0,1455.2
공덕동,20232,14510748.0,1451.1
용신동,20244,14419712.0,1442.0
용신동,20233,14402510.0,1440.3
공덕동,20223,14377642.0,1437.8
용신동,20231,14334380.0,1433.4
종로1·2·3·4가동,20234,14303604.0,1430.4
용신동,20243,14274517.0,1427.5
용신동,20251,14257199.0,1425.7
종로1·2·3·4가동,20242,14243910.0,1424.4
용신동,20221,14227402.0,1422.7
종로1·2·3·4가동,20224,14211700.0,1421.2
용신동,20252,14186217.0,1418.6
종로1·2·3·4가동,20231,14180166.0,1418.0
종로1·2·3·4가동,20232,14175711.0,1417.6
종로1·2·3·4가동,20244,14152630.0,1415.3
종로1·2·3·4가동,20252,14129208.0,1412.9
공덕동,20222,14116007.0,1411.6
공덕동,20221,14056034.0,1405.6
종로1·2·3·4가동,20222,14055441.0,1405.5
용신동,20224,13996313.0,1399.6
종로1·2·3·4가동,20241,13969774.0,1397.0
용신동,20253,13912687.0,1391.3
종로1·2·3·4가동,20233,13870987.0,1387.1
종로1·2·3·4가동,20253,13813280.0,1381.3
용신동,20223,13769562.0,1377.0
북가좌2동,20221,13695532.0,1369.6
공덕동,20233,13659417.0,1365.9
종로1·2·3·4가동,20223,13658351.0,1365.8
종로1·2·3·4가동,20251,13650465.0,1365.0
공덕동,20234,13634016.0,1363.4
종로1·2·3·4가동,20243,13527970.0,1352.8
공덕동,20241,13452940.0,1345.3
대조동,20251,13447228.0,1344.7
공덕동,20242,13380266.0,1338.0
대조동,20244,13208241.0,1320.8
대조동,20252,13154681.0,1315.5
역촌동,20221,13081272.0,1308.1
대조동,20243,13055954.0,1305.6
송천동,20222,12998739.0,1299.9
공덕동,20243,12935290.0,1293.5
공덕동,20251,12922123.0,1292.2
송천동,20242,12848569.0,1284.9
송천동,20231,12840550.0,1284.1
제기동,20232,12836042.0,1283.6
공덕동,20244,12821037.0,1282.1
북가좌2동,20222,12790630.0,1279.1
제기동,20244,12779827.0,1278.0
송천동,20221,12738608.0,1273.9
송천동,20224,12737853.0,1273.8
송천동,20232,12723875.0,1272.4
제기동,20224,12720943.0,1272.1
송천동,20243,12713858.0,1271.4
제기동,20242,12709202.0,1270.9
제기동,20222,12698145.0,1269.8
제기동,20234,12658658.0,1265.9
송천동,20233,12658620.0,1265.9
제기동,20223,12649801.0,1265.0
송천동,20234,12634015.0,1263.4
송중동,20221,12633692.0,1263.4
역촌동,20222,12598472.0,1259.8
송천동,20223,12588317.0,1258.8
송중동,20231,12583854.0,1258.4
공덕동,20252,12582687.0,1258.3
송천동,20241,12576946.0,1257.7
제기동,20231,12572168.0,1257.2
역삼2동,20231,12554185.0,1255.4
대조동,20253,12550609.0,1255.1
송중동,20241,12532651.0,1253.3
역삼2동,20253,12482409.0,1248.2
송중동,20224,12482185.0,1248.2
서초3동,20222,12463833.0,1246.4
송중동,20222,12354768.0,1235.5
역촌동,20223,12343852.0,1234.4
대조동,20234,12338298.0,1233.8
송천동,20244,12329187.0,1232.9
역촌동,20231,12324327.0,1232.4
대조동,20242,12310283.0,1231.0
북가좌2동,20223,12307228.0,1230.7
송중동,20223,12303651.0,1230.4
송중동,20232,12289641.0,1229.0
서초3동,20253,12272542.0,1227.3
제기동,20252,12271963.0,1227.2
제기동,20243,12221734.0,1222.2
역삼2동,20224,12206138.0,1220.6
대조동,20233,12205663.0,1220.6
송중동,20233,12204812.0,1220.5
서초3동,20231,12202997.0,1220.3
공덕동,20253,12192896.0,1219.3
송중동,20234,12192120.0,1219.2
서초3동,20221,12185008.0,1218.5
제기동,20221,12183989.0,1218.4
역삼2동,20233,12181308.0,1218.1
삼양동,20221,12180015.0,1218.0
역촌동,20224,12171331.0,1217.1
서초3동,20244,12161523.0,1216.2
역삼2동,20251,12157363.0,1215.7
송중동,20242,12133853.0,1213.4
역삼2동,20243,12129381.0,1212.9
역삼2동,20244,12125350.0,1212.5
대조동,20232,12124479.0,1212.4
제기동,20233,12124205.0,1212.4
역삼2동,20232,12120980.0,1212.1
역삼2동,20234,12114261.0,1211.4
역삼2동,20241,12112419.0,1211.2
서초3동,20223,12108999.0,1210.9
제기동,20251,12098814.0,1209.9
서초3동,20234,12089234.0,1208.9
제기동,20241,12087290.0,1208.7
서초3동,20251,12074292.0,1207.4
전농1동,20244,12037454.0,1203.7
역삼2동,20252,12024460.0,1202.4
종로1·2·3·4가동,20221,12013656.0,1201.4
서초3동,20233,12012993.0,1201.3
서초3동,20252,12000820.0,1200.1
서초3동,20243,11998218.0,1199.8
