기준_년분기_코드,상권구분_명,상권_명,당월_매출_금액,매출_억원
20233,발달상권,강남역,21349329592.0,213.5
20223,발달상권,가산디지털단지,20668847683.0,206.7
20224,발달상권,가산디지털단지,20456411852.0,204.6
20253,발달상권,강남역,20334897897.0,203.3
20232,발달상권,강남역,20293743690.0,202.9
20232,발달상권,가산디지털단지,20186883656.0,201.9
20233,발달상권,가산디지털단지,20171410939.0,201.7
20243,발달상권,강남역,19666840552.0,196.7
20243,발달상권,가산디지털단지,19604974980.0,196.0
20242,발달상권,강남역,19320880745.0,193.2
20222,발달상권,가산디지털단지,19259042536.0,192.6
20234,발달상권,가산디지털단지,19120325647.0,191.2
20253,관광특구,명동 남대문 북창동 다동 무교동 관광특구,19039603234.0,190.4
20242,발달상권,가산디지털단지,19009800172.0,190.1
20243,관광특구,명동 남대문 북창동 다동 무교동 관광특구,18985452388.0,189.9
20231,발달상권,가산디지털단지,18935166826.0,189.4
20234,발달상권,강남역,18762370159.0,187.6
20244,발달상권,가산디지털단지,18746137686.0,187.5
20253,발달상권,가산디지털단지,18579525656.0,185.8
20244,발달상권,강남역,18374649064.0,183.7
20224,발달상권,강남역,18363774980.0,183.6
20241,발달상권,강남역,18353327561.0,183.5
20241,발달상권,가산디지털단지,18277279118.0,182.8
20252,발달상권,가산디지털단지,18040656717.0,180.4
20223,발달상권,강남역,18014924579.0,180.1
20231,발달상권,강남역,17996874007.0,180.0
20244,관광특구,명동 남대문 북창동 다동 무교동 관광특구,17884040295.0,178.8
20221,발달상권,가산디지털단지,17724474675.0,177.2
20252,발달상권,강남역,17429191384.0,174.3
20222,발달상권,강남역,17415632556.0,174.2
20234,관광특구,명동 남대문 북창동 다동 무교동 관광특구,17308208876.0,173.1
20252,관광특구,명동 남대문 북창동 다동 무교동 관광특구,17100743694.0,171.0
20233,관광특구,명동 남대문 북창동 다동 무교동 관광특구,17069904931.0,170.7
20242,관광특구,명동 남대문 북창동 다동 무교동 관광특구,16786356966.0,167.9
20241,관광특구,명동 남대문 북창동 다동 무교동 관광특구,16528679477.0,165.3
20251,발달상권,가산디지털단지,16463494729.0,164.6
20232,관광특구,명동 남대문 북창동 다동 무교동 관광특구,16228036024.0,162.3
20251,발달상권,강남역,16197830276.0,162.0
20251,관광특구,명동 남대문 북창동 다동 무교동 관광특구,16034124142.0,160.3
20231,관광특구,명동 남대문 북창동 다동 무교동 관광특구,14757750720.0,147.6
20221,발달상권,강남역,14742309165.0,147.4
20224,관광특구,명동 남대문 북창동 다동 무교동 관광특구,14387558410.0,143.9
20242,관광특구,잠실 관광특구,14265520982.0,142.7
20243,관광특구,잠실 관광특구,14186846281.0,141.9
20252,관광특구,잠실 관광특구,14153881355.0,141.5
20223,관광특구,명동 남대문 북창동 다동 무교동 관광특구,14103953261.0,141.0
20234,관광특구,잠실 관광특구,14033585245.0,140.3
20253,관광특구,잠실 관광특구,13716719197.0,137.2
20233,발달상권,선릉역,13647237979.0,136.5
20223,발달상권,선릉역,13439227718.0,134.4
20232,발달상권,선릉역,13362700243.0,133.6
20224,발달상권,선릉역,13294546180.0,132.9
20244,관광특구,잠실 관광특구,13080326897.0,130.8
20231,발달상권,선릉역,12995894479.0,130.0
20241,관광특구,잠실 관광특구,12940336525.0,129.4
20251,관광특구,잠실 관광특구,12513275641.0,125.1
20222,발달상권,선릉역,12448425085.0,124.5
20234,발달상권,선릉역,12425435825.0,124.3
20231,관광특구,잠실 관광특구,12350688391.0,123.5
20242,발달상권,선릉역,12272520540.0,122.7
20243,발달상권,선릉역,12011991219.0,120.1
20241,발달상권,선릉역,11879453989.0,118.8
20222,관광특구,명동 남대문 북창동 다동 무교동 관광특구,11723724244.0,117.2
20223,발달상권,역삼역,11135460116.0,111.4
20244,발달상권,선릉역,11115507422.0,111.2
20233,발달상권,여의도역(여의도),10955640658.0,109.6
20223,관광특구,이태원 관광특구,10888307045.0,108.9
20221,발달상권,선릉역,10876606646.0,108.8
20253,발달상권,선릉역,10820531220.0,108.2
20253,발달상권,역삼역,10750975592.0,107.5
20243,발달상권,여의도역(여의도),10721642037.0,107.2
20224,발달상권,역삼역,10699134726.0,107.0
20232,발달상권,여의도역(여의도),10639631540.0,106.4
20223,발달상권,이태원(이태원역),10581976286.0,105.8
20233,발달상권,역삼역,10577918899.0,105.8
20222,발달상권,역삼역,10575644282.0,105.8
20253,발달상권,여의도역(여의도),10570637035.0,105.7
20232,발달상권,역삼역,10447592170.0,104.5
20234,발달상권,여의도역(여의도),10296924372.0,103.0
20231,발달상권,역삼역,10274958780.0,102.7
20244,발달상권,여의도역(여의도),10184067240.0,101.8
20242,발달상권,여의도역(여의도),10178576671.0,101.8
20224,발달상권,여의도역(여의도),10087683483.0,100.9
20252,발달상권,선릉역,10017678816.0,100.2
20223,발달상권,여의도역(여의도),9943203277.0,99.4
20252,발달상권,역삼역,9893910444.0,98.9
20241,발달상권,여의도역(여의도),9861722396.0,98.6
20222,관광특구,이태원 관광특구,9747984732.0,97.5
20253,발달상권,홍대입구역(홍대),9726414265.0,97.3
20243,발달상권,역삼역,9707577228.0,97.1
20221,발달상권,역삼역,9699596617.0,97.0
20232,관광특구,잠실 관광특구,9666264369.0,96.7
20233,발달상권,수서역,9659174912.0,96.6
20251,발달상권,선릉역,9616786595.0,96.2
20242,발달상권,역삼역,9575212824.0,95.8
20252,발달상권,여의도역(여의도),9566178327.0,95.7
20222,발달상권,이태원(이태원역),9468682975.0,94.7
20234,발달상권,역삼역,9437749013.0,94.4
20232,발달상권,수서역,9384070723.0,93.8
20243,발달상권,수서역,9356367938.0,93.6
20243,발달상권,홍대입구역(홍대),9342357889.0,93.4
20241,발달상권,역삼역,9269396353.0,92.7
20253,발달상권,수서역,9268815295.0,92.7
20231,발달상권,여의도역(여의도),9249135005.0,92.5
20223,관광특구,잠실 관광특구,9231866177.0,92.3
20242,발달상권,수서역,9075882134.0,90.8
20233,관광특구,잠실 관광특구,9044242721.0,90.4
20251,발달상권,여의도역(여의도),9038777349.0,90.4
20234,발달상권,수서역,9017270027.0,90.2
20244,발달상권,홍대입구역(홍대),9006042321.0,90.1
20224,관광특구,잠실 관광특구,8999140565.0,90.0
20244,발달상권,역삼역,8990637604.0,89.9
20223,발달상권,노량진역(노량진),8980677921.0,89.8
20252,발달상권,홍대입구역(홍대),8968898729.0,89.7
20222,관광특구,잠실 관광특구,8953715773.0,89.5
20224,발달상권,노량진역(노량진),8916273880.0,89.2
20244,발달상권,수서역,8887483853.0,88.9
20222,발달상권,여의도역(여의도),8798109414.0,88.0
20252,발달상권,수서역,8732409959.0,87.3
20224,발달상권,수서역,8729810696.0,87.3
20231,발달상권,수서역,8667926879.0,86.7
20251,발달상권,역삼역,8640813735.0,86.4
20232,발달상권,노량진역(노량진),8586642091.0,85.9
20231,발달상권,노량진역(노량진),8577923040.0,85.8
20222,발달상권,노량진역(노량진),8533451866.0,85.3
20241,발달상권,수서역,8490266772.0,84.9
20233,발달상권,노량진역(노량진),8440752432.0,84.4
20234,발달상권,노량진역(노량진),8397472340.0,84.0
20232,발달상권,"신촌역(신촌역, 신촌로터리)",8386592949.0,83.9
20222,발달상권,수서역,8369884586.0,83.7
20243,발달상권,"신촌역(신촌역, 신촌로터리)",8355031239.0,83.6
20251,발달상권,홍대입구역(홍대),8323943504.0,83.2
20234,발달상권,수유역,8318710235.0,83.2
20222,발달상권,신림역(신림),8302869578.0,83.0
20224,발달상권,신림역(신림),8256095708.0,82.6
20233,발달상권,"신촌역(신촌역, 신촌로터리)",8249041542.0,82.5
20233,발달상권,수유역,8237596165.0,82.4
20242,발달상권,홍대입구역(홍대),8226789769.0,82.3
20232,발달상권,수유역,8220594515.0,82.2
20223,발달상권,신림역(신림),8167127425.0,81.7
20242,발달상권,"신촌역(신촌역, 신촌로터리)",8158973529.0,81.6
20243,발달상권,수유역,8138256612.0,81.4
20223,발달상권,수서역,8133908008.0,81.3
20223,발달상권,수유역,8132615299.0,81.3
20231,발달상권,신림역(신림),8081123290.0,80.8
20234,발달상권,"신촌역(신촌역, 신촌로터리)",8060491965.0,80.6
20221,발달상권,노량진역(노량진),8044136895.0,80.4
20242,발달상권,수유역,7995887705.0,80.0
20251,발달상권,수서역,7992313710.0,79.9
20244,발달상권,수유역,7966614828.0,79.7
20241,발달상권,수유역,7961516995.0,79.6
20253,발달상권,"신촌역(신촌역, 신촌로터리)",7960533105.0,79.6
20244,발달상권,"신촌역(신촌역, 신촌로터리)",7936456345.0,79.4
20253,발달상권,수유역,7918233500.0,79.2
20252,발달상권,"신촌역(신촌역, 신촌로터리)",7905636584.0,79.1
20223,발달상권,"신촌역(신촌역, 신촌로터리)",7876809234.0,78.8
20223,발달상권,서울대입구역,7870457145.0,78.7
20252,발달상권,수유역,7734159767.0,77.3
20232,발달상권,신림역(신림),7723982900.0,77.2
20224,발달상권,수유역,7715614596.0,77.2
20222,발달상권,서울대입구역,7653755360.0,76.5
20241,발달상권,노량진역(노량진),7641273183.0,76.4
20221,관광특구,명동 남대문 북창동 다동 무교동 관광특구,7639368442.0,76.4
20224,발달상권,"신촌역(신촌역, 신촌로터리)",7630908101.0,76.3
20231,발달상권,수유역,7609292746.0,76.1
20241,발달상권,"신촌역(신촌역, 신촌로터리)",7488979480.0,74.9
20221,관광특구,잠실 관광특구,7416305600.0,74.2
20251,발달상권,수유역,7396831552.0,74.0
20241,발달상권,홍대입구역(홍대),7349144371.0,73.5
20231,발달상권,"신촌역(신촌역, 신촌로터리)",7272268085.0,72.7
20224,발달상권,서울대입구역,7270014883.0,72.7
20221,발달상권,신림역(신림),7252814820.0,72.5
20234,발달상권,홍대입구역(홍대),7241477329.0,72.4
20222,발달상권,을지로3가역,7168145981.0,71.7
20253,발달상권,잠실역,7114324305.0,71.1
20233,발달상권,은마아파트,7092876203.0,70.9
20222,발달상권,"신촌역(신촌역, 신촌로터리)",7086166565.0,70.9
20251,발달상권,"신촌역(신촌역, 신촌로터리)",7084068914.0,70.8
20221,관광특구,이태원 관광특구,7077873664.0,70.8
20243,발달상권,은마아파트,7058767695.0,70.6
20222,발달상권,수유역,7056596203.0,70.6
20221,발달상권,여의도역(여의도),7054914928.0,70.5
20223,발달상권,을지로3가역,6970906670.0,69.7
20232,발달상권,홍대입구역(홍대),6944129288.0,69.4
20242,발달상권,서울대입구역,6937204281.0,69.4
20221,발달상권,서울대입구역,6919069987.0,69.2
20233,발달상권,신림역(신림),6913505311.0,69.1
20233,발달상권,서울대입구역,6910667720.0,69.1
20233,발달상권,홍대입구역(홍대),6909009886.0,69.1
20231,발달상권,서울대입구역,6879566877.0,68.8
20242,발달상권,문정역,6877791998.0,68.8
20232,발달상권,건대입구역(건대),6865132307.0,68.7
20243,발달상권,문정역,6848152540.0,68.5
20221,발달상권,이태원(이태원역),6831803063.0,68.3
20242,발달상권,노량진역(노량진),6822694268.0,68.2
20252,발달상권,잠실역,6771774696.0,67.7
20243,발달상권,잠실역,6767120209.0,67.7
20243,발달상권,서울대입구역,6766169646.0,67.7
20253,발달상권,뱅뱅사거리,6765687035.0,67.7
20232,발달상권,서울대입구역,6730774456.0,67.3
20221,발달상권,수서역,6722268682.0,67.2
20253,발달상권,문정역,6706166953.0,67.1
20241,발달상권,서울대입구역,6662135576.0,66.6
20234,발달상권,건대입구역(건대),6634412000.0,66.3
20223,발달상권,동대문역사문화공원역,6615159170.0,66.2
20242,발달상권,건대입구역(건대),6606230651.0,66.1
20242,발달상권,잠실역,6595500703.0,66.0
20253,발달상권,삼성역,6593181550.0,65.9
20233,발달상권,영등포역(영등포),6582125176.0,65.8
20243,발달상권,노량진역(노량진),6545686670.0,65.5
20234,발달상권,영등포역(영등포),6540853145.0,65.4
20233,발달상권,뱅뱅사거리,6531371327.0,65.3
20231,발달상권,잠실역,6520511540.0,65.2
20233,발달상권,건대입구역(건대),6504010552.0,65.0
20223,발달상권,은마아파트,6497865286.0,65.0
20251,발달상권,잠실역,6491560469.0,64.9
20223,발달상권,홍대입구역(홍대),6459655937.0,64.6
20243,발달상권,천호역,6449148179.0,64.5
20234,발달상권,잠실역,6446315964.0,64.5
20244,발달상권,노량진역(노량진),6435949487.0,64.4
20224,발달상권,영등포역(영등포),6422700936.0,64.2
20252,발달상권,문정역,6420217418.0,64.2
20253,발달상권,동대문역사문화공원역,6417125002.0,64.2
20244,발달상권,서울대입구역,6406326714.0,64.1
20253,발달상권,이태원(이태원역),6390426168.0,63.9
20221,발달상권,수유역,6379920688.0,63.8
20232,발달상권,영등포역(영등포),6378364263.0,63.8
20242,발달상권,천호역,6354025469.0,63.5
20244,발달상권,잠실역,6351841007.0,63.5
20224,발달상권,을지로3가역,6348756253.0,63.5
20231,발달상권,홍대입구역(홍대),6345279559.0,63.5
20242,발달상권,은마아파트,6344844328.0,63.4
20231,발달상권,영등포역(영등포),6338835425.0,63.4
20241,발달상권,잠실역,6331225138.0,63.3
20223,발달상권,영등포역(영등포),6317269794.0,63.2
20241,발달상권,영등포역(영등포),6316671013.0,63.2
20234,발달상권,서울대입구역,6313716869.0,63.1
20234,발달상권,신림역(신림),6305025963.0,63.1
20224,발달상권,홍대입구역(홍대),6303765826.0,63.0
20253,관광특구,강남 마이스 관광특구,6301621604.0,63.0
20221,발달상권,"신촌역(신촌역, 신촌로터리)",6291224388.0,62.9
20222,발달상권,동대문역사문화공원역,6291048347.0,62.9
20244,발달상권,문정역,6289835511.0,62.9
20222,발달상권,영등포역(영등포),6284827408.0,62.8
20222,발달상권,홍대입구역(홍대),6281775249.0,62.8
20224,발달상권,동대문역사문화공원역,6262932600.0,62.6
20233,발달상권,동대문역사문화공원역,6257080109.0,62.6
20233,발달상권,신논현역,6255501611.0,62.6
20223,발달상권,연남동(홍대),6247784223.0,62.5
20232,발달상권,신논현역,6234841897.0,62.3
20223,발달상권,뱅뱅사거리,6234491507.0,62.3
20232,발달상권,은마아파트,6229089196.0,62.3
20253,발달상권,서울역,6212631364.0,62.1
20243,발달상권,동대문역사문화공원역,6204901860.0,62.0
20233,발달상권,천호역,6192768990.0,61.9
20234,발달상권,천호역,6189913271.0,61.9
20253,발달상권,은마아파트,6188103987.0,61.9
20242,발달상권,신림역(신림),6149065987.0,61.5
20243,발달상권,신림역(신림),6136283041.0,61.4
20243,발달상권,건대입구역(건대),6115237755.0,61.2
20241,발달상권,건대입구역(건대),6109162191.0,61.1
20234,발달상권,동대문역사문화공원역,6108513160.0,61.1
20253,발달상권,노량진역(노량진),6107012271.0,61.1
20241,발달상권,신림역(신림),6103327323.0,61.0
20241,발달상권,은마아파트,6078875747.0,60.8
20231,발달상권,을지로3가역,6059420476.0,60.6
20253,발달상권,성수역,6056870717.0,60.6
20252,발달상권,뱅뱅사거리,6053944570.0,60.5
20244,발달상권,건대입구역(건대),6052207027.0,60.5
20222,발달상권,뱅뱅사거리,6041871342.0,60.4
20234,발달상권,신논현역,6036488652.0,60.4
20233,발달상권,이태원(이태원역),6032992516.0,60.3
20252,발달상권,노량진역(노량진),6025740600.0,60.3
20232,발달상권,천호역,6001371801.0,60.0
20244,발달상권,서울역,5987593402.0,59.9
20244,발달상권,천호역,5984567047.0,59.8
20224,발달상권,신논현역,5955708937.0,59.6
20233,발달상권,연남동(홍대),5943957682.0,59.4
20223,발달상권,신사역,5942407032.0,59.4
20243,발달상권,신논현역,5934556834.0,59.3
20253,발달상권,서울대입구역,5933397491.0,59.3
20253,발달상권,천호역,5932737810.0,59.3
20241,발달상권,천호역,5925827217.0,59.3
20251,발달상권,노량진역(노량진),5916337192.0,59.2
20224,발달상권,건대입구역(건대),5913079230.0,59.1
20233,관광특구,동대문패션타운 관광특구,5912104783.0,59.1
20233,관광특구,이태원 관광특구,5910737724.0,59.1
20253,발달상권,명동(명동거리),5910295967.0,59.1
20253,관광특구,이태원 관광특구,5899150569.0,59.0
20252,발달상권,서울역,5898575162.0,59.0
20223,관광특구,동대문패션타운 관광특구,5894554434.0,58.9
20223,발달상권,신논현역,5892029034.0,58.9
20251,발달상권,문정역,5886110187.0,58.9
20252,발달상권,삼성역,5881917761.0,58.8
20243,발달상권,서울역,5877002960.0,58.8
20233,발달상권,신사역,5870438929.0,58.7
20243,발달상권,이태원(이태원역),5857671003.0,58.6
20222,발달상권,건대입구역(건대),5853822300.0,58.5
20252,발달상권,성수역,5853553533.0,58.5
20251,발달상권,은마아파트,5844473306.0,58.4
20242,발달상권,신논현역,5841591181.0,58.4
20252,발달상권,천호역,5840974988.0,58.4
20223,발달상권,건대입구역(건대),5838546100.0,58.4
20252,발달상권,이태원(이태원역),5837309819.0,58.4
20242,발달상권,서울역,5835459160.0,58.4
20232,발달상권,동대문역사문화공원역,5821443562.0,58.2
20222,발달상권,연남동(홍대),5816884250.0,58.2
20224,발달상권,연남동(홍대),5812841481.0,58.1
20232,관광특구,동대문패션타운 관광특구,5809118332.0,58.1
20252,발달상권,서울대입구역,5795337034.0,58.0
20242,발달상권,영등포역(영등포),5793162345.0,57.9
20223,발달상권,구로디지털단지,5792906457.0,57.9
20221,발달상권,동대문역사문화공원역,5792143239.0,57.9
20231,발달상권,은마아파트,5790882076.0,57.9
20221,발달상권,뱅뱅사거리,5790656526.0,57.9
20231,발달상권,건대입구역(건대),5780422548.0,57.8
20224,발달상권,신사역,5764040269.0,57.6
20233,발달상권,문정역,5763639028.0,57.6
20232,발달상권,신사역,5763581770.0,57.6
20244,발달상권,동대문역사문화공원역,5761688268.0,57.6
20253,관광특구,동대문패션타운 관광특구,5760396112.0,57.6
20234,발달상권,은마아파트,5743959306.0,57.4
20231,발달상권,동대문역사문화공원역,5737085108.0,57.4
20231,발달상권,신논현역,5727888739.0,57.3
20253,발달상권,신논현역,5715229892.0,57.2
20224,관광특구,동대문패션타운 관광특구,5708873041.0,57.1
20252,발달상권,동대문역사문화공원역,5708267263.0,57.1
20244,발달상권,신림역(신림),5706287770.0,57.1
20251,발달상권,삼성역,5693617024.0,56.9
20241,발달상권,동대문역사문화공원역,5683294850.0,56.8
20234,발달상권,이태원(이태원역),5682582920.0,56.8
20253,발달상권,신림역(신림),5681979707.0,56.8
20241,발달상권,신논현역,5678487695.0,56.8
20224,발달상권,은마아파트,5671478990.0,56.7
20223,발달상권,잠실새내역(신천),5668965011.0,56.7
20223,발달상권,문정역,5659118385.0,56.6
20221,발달상권,영등포역(영등포),5633809073.0,56.3
20222,관광특구,동대문패션타운 관광특구,5632860436.0,56.3
20222,발달상권,신논현역,5630163136.0,56.3
20244,발달상권,삼성역,5622462058.0,56.2
20242,발달상권,동대문역사문화공원역,5621503095.0,56.2
20233,발달상권,삼성역,5600799459.0,56.0
20252,발달상권,은마아파트,5600192750.0,56.0
20224,발달상권,뱅뱅사거리,5595255768.0,56.0
20244,발달상권,이태원(이태원역),5584401411.0,55.8
20234,발달상권,문정역,5577130038.0,55.8
20252,관광특구,강남 마이스 관광특구,5574074102.0,55.7
20252,발달상권,신림역(신림),5574068640.0,55.7
20242,발달상권,이태원(이태원역),5568362439.0,55.7
20243,발달상권,서울시청,5562140852.0,55.6
20232,발달상권,문정역,5555377378.0,55.6
20253,발달상권,서울시청,5553425653.0,55.5
20232,발달상권,서울역,5550893065.0,55.5
20232,발달상권,뱅뱅사거리,5550880958.0,55.5
20243,발달상권,명동(명동거리),5547768977.0,55.5
20234,발달상권,서울역,5542058629.0,55.4
20224,관광특구,이태원 관광특구,5539970937.0,55.4
20252,발달상권,건대입구역(건대),5536739976.0,55.4
20232,발달상권,잠실새내역(신천),5535115469.0,55.4
20253,발달상권,잠실새내역(신천),5534326293.0,55.3
20244,발달상권,신논현역,5533806457.0,55.3
20241,발달상권,문정역,5529892544.0,55.3
20222,발달상권,문정역,5527052082.0,55.3
20232,발달상권,연남동(홍대),5511615533.0,55.1
20222,발달상권,은마아파트,5506910348.0,55.1
20221,발달상권,을지로3가역,5501282162.0,55.0
20222,발달상권,구로디지털단지,5494969638.0,54.9
20234,관광특구,동대문패션타운 관광특구,5493045813.0,54.9
20251,발달상권,천호역,5492070686.0,54.9
20233,발달상권,서울역,5480342789.0,54.8
20251,발달상권,성수역,5474560044.0,54.7
20243,발달상권,잠실새내역(신천),5470232777.0,54.7
20251,발달상권,서울대입구역,5462537042.0,54.6
20243,관광특구,이태원 관광특구,5457002413.0,54.6
20243,관광특구,동대문패션타운 관광특구,5455682969.0,54.6
20234,관광특구,이태원 관광특구,5451993082.0,54.5
20241,발달상권,연남동(홍대),5451592360.0,54.5
20251,관광특구,강남 마이스 관광특구,5443817723.0,54.4
20231,발달상권,신사역,5441086077.0,54.4
20231,발달상권,연남동(홍대),5434011548.0,54.3
20243,발달상권,연남동(홍대),5433821296.0,54.3
20222,발달상권,잠실새내역(신천),5426220146.0,54.3
20243,발달상권,영등포역(영등포),5425595728.0,54.3
20242,발달상권,서울시청,5422848906.0,54.2
20224,발달상권,서울역,5393404269.0,53.9
20224,발달상권,문정역,5392612853.0,53.9
20252,발달상권,신논현역,5384071885.0,53.8
20234,발달상권,뱅뱅사거리,5377885986.0,53.8
