상권구분_코드,상권구분_명,상권_코드,상권_명,행정동_코드,행정동_코드_명
A,골목상권,3110008,배화여자대학교(박노수미술관),11110515,청운효자동
A,골목상권,3110009,자하문터널,11110550,부암동
A,골목상권,3110010,평창동서측,11110560,평창동
A,골목상권,3110017,정독도서관,11110600,가회동
A,골목상권,3110018,중앙고등학교,11110600,가회동
A,골목상권,3110019,창덕궁,11110615,종로1·2·3·4가동
A,골목상권,3110020,서울국제고등학교,11110650,혜화동
A,골목상권,3110001,이북5도청사,11110560,평창동
A,골목상권,3110002,독립문역 1번,11110570,무악동
A,골목상권,3110003,세검정초등학교,11110550,부암동
A,골목상권,3110004,대신고등학교,11110580,교남동
A,골목상권,3110035,동묘앞역 2번,11110710,숭인2동
A,골목상권,3110011,청운초등학교,11110515,청운효자동
A,골목상권,3110012,성곡미술관,11110530,사직동
A,골목상권,3110013,체부동홍종문가옥,11110530,사직동
A,골목상권,3110014,경복고등학교,11110515,청운효자동
A,골목상권,3110015,청와대사랑채,11110515,청운효자동
A,골목상권,3110016,평창동동측,11110560,평창동
A,골목상권,3110005,세검정,11110550,부암동
A,골목상권,3110006,부암동주민센터,11110550,부암동
A,골목상권,3110007,사직공원(한국사회과학도서관),11110530,사직동
A,골목상권,3110037,신설동역 12번,11110710,숭인2동
A,골목상권,3110038,경향신문사,11140520,소공동
A,골목상권,3110039,회현역 1번,11140540,회현동
A,골목상권,3110021,성균관대학교,11110650,혜화동
A,골목상권,3110022,경신고등학교,11110650,혜화동
A,골목상권,3110023,서울대병원,11110640,이화동
A,골목상권,3110024,혜화동주민센터,11110650,혜화동
A,골목상권,3110025,충신시장옆,11110630,종로5·6가동
A,골목상권,3110026,종로5가역 4번,11110630,종로5·6가동
A,골목상권,3110027,혜화역 1번,11110640,이화동
A,골목상권,3110028,이화달팽이길,11110640,이화동
A,골목상권,3110029,동대문역 1번,11110680,창신2동
A,골목상권,3110030,동대문역 3번,11110670,창신1동
A,골목상권,3110031,창신역 1번,11110690,창신3동
A,골목상권,3110032,수족관거리,11110670,창신1동
A,골목상권,3110033,창신역 4번,11110700,숭인1동
A,골목상권,3110034,창신1동주민센터,11110670,창신1동
A,골목상권,3110057,황학코아루아파트,11140670,황학동
A,골목상권,3110058,성심여자고등학교,11170570,원효로2동
A,골목상권,3110059,새남터성지,11170640,이촌2동
A,골목상권,3110036,동묘앞역 3번,11110710,숭인2동
A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),11140540,회현동
A,골목상권,3110041,남산케이블카,11140550,명동
A,골목상권,3110042,남산골공원옆,11140570,필동
A,골목상권,3110043,충무초등학교,11140580,장충동
A,골목상권,3110044,관성묘,11140580,장충동
A,골목상권,3110045,동대문역사문화공원역 5번,11140580,장충동
A,골목상권,3110046,버티고개,11140625,다산동
A,골목상권,3110047,다산성곽길,11140625,다산동
A,골목상권,3110048,장충동주민센터,11140580,장충동
A,골목상권,3110049,장충단 고개,11140625,다산동
A,골목상권,3110053,청구역 1번,11140615,신당동
A,골목상권,3110054,청구역 3번,11140645,청구동
A,골목상권,3110055,황학동벼룩시장,11140670,황학동
A,골목상권,3110056,신당역 3번,11140650,신당5동
A,골목상권,3110079,후암동주민센터,11170510,후암동
A,골목상권,3110080,해방촌예술마을,11170510,후암동
A,골목상권,3110081,해방촌 남동측,11170520,용산2가동
A,골목상권,3110050,약수역 7번,11140635,약수동
A,골목상권,3110051,한양공고앞 교차로,11140615,신당동
A,골목상권,3110052,장충초등학교,11140625,다산동
A,골목상권,3110060,효창공원앞역 6번,11170590,용문동
A,골목상권,3110061,효창동주민센터,11170580,효창동
A,골목상권,3110062,한강로동땡땡거리(은행나무길),11170625,한강로동
A,골목상권,3110063,효창공원앞역 5번,11170590,용문동
A,골목상권,3110064,효창공원앞역 2번,11170580,효창동
A,골목상권,3110082,용산구청,11170650,이태원1동
A,골목상권,3110083,서빙고역 1번,11170690,서빙고동
A,골목상권,3110084,경리단길북측,11170660,이태원2동
A,골목상권,3110085,경리단길남측,11170660,이태원2동
A,골목상권,3110086,이태원역 북측,11170650,이태원1동
A,골목상권,3110065,남정초등학교,11170560,원효로1동
A,골목상권,3110066,서울역 15번,11170555,청파동
A,골목상권,3110067,배문고등학교,11170555,청파동
A,골목상권,3110068,남영역 1번,11170560,원효로1동
A,골목상권,3110069,숙대입구,11170555,청파동
A,골목상권,3110070,용산세무서,11170625,한강로동
A,골목상권,3110071,한강미주맨션아파트,11170630,이촌1동
A,골목상권,3110072,열정도,11170560,원효로1동
A,골목상권,3110073,삼각지역 3번,11170625,한강로동
A,골목상권,3110074,서울역 12번,11170530,남영동
A,골목상권,3110075,숙대입구역 1번,11170530,남영동
A,골목상권,3110076,삼각지역 14번,11170625,한강로동
A,골목상권,3110077,삼광초등학교,11170510,후암동
A,골목상권,3110078,이촌동점보아파트,11170630,이촌1동
A,골목상권,3110110,상왕십리역 6번,11200520,왕십리2동
A,골목상권,3110111,대현산장미원,11200580,응봉동
A,골목상권,3110087,이태원엔틱가구거리,11170650,이태원1동
A,골목상권,3110088,오산고등학교,11170690,서빙고동
A,골목상권,3110089,서빙고동주민센터,11170690,서빙고동
A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,11170700,보광동
A,골목상권,3110091,리움미술관,11170685,한남동
A,골목상권,3110092,NH농협은행 보광동지점,11170700,보광동
A,골목상권,3110093,우사단길,11170685,한남동
A,골목상권,3110094,오산중학교,11170700,보광동
A,골목상권,3110095,한강진역 3번,11170685,한남동
A,골목상권,3110096,한남힐사이드아파트,11170685,한남동
A,골목상권,3110097,한남초등학교,11170685,한남동
A,골목상권,3110098,서울독일학교,11170685,한남동
A,골목상권,3110099,유엔빌리지길,11170685,한남동
A,골목상권,3110100,옥수동우편취급국,11200645,옥수동
A,골목상권,3110101,옥정중학교,11200645,옥수동
A,골목상권,3110102,옥수역 6번,11200645,옥수동
A,골목상권,3110103,옥수터널,11200620,금호4가동
A,골목상권,3110104,신금호역 4번,11200615,금호2·3가동
A,골목상권,3110108,성동구립금호도서관,11200590,금호1가동
A,골목상권,3110109,금호삼성래미안아파트,11200590,금호1가동
A,골목상권,3110129,성원어린이공원,11200660,성수1가2동
A,골목상권,3110130,답십리역 6번,11200790,용답동
A,골목상권,3110131,성수동카페거리,11200670,성수2가1동
A,골목상권,3110132,성수2가3동주민센터,11200690,성수2가3동
A,골목상권,3110136,경수초등학교,11200670,성수2가1동
A,골목상권,3110105,금동어린이공원,11200615,금호2·3가동
A,골목상권,3110106,금북초등학교,11200590,금호1가동
A,골목상권,3110107,금호사거리,11200620,금호4가동
A,골목상권,3110112,행당역 2번,11200560,행당1동
A,골목상권,3110113,응봉산,11200580,응봉동
A,골목상권,3110114,왕십리파출소,11200535,왕십리도선동
A,골목상권,3110133,서울교통공사,11200790,용답동
A,골목상권,3110134,성수119안전센터,11200670,성수2가1동
A,골목상권,3110135,성동세무서,11200720,송정동
A,골목상권,3110115,상왕십리역 3번,11200535,왕십리도선동
A,골목상권,3110116,청계천박물관,11200540,마장동
A,골목상권,3110117,성동구보건소,11200540,마장동
A,골목상권,3110118,왕십리역 9번,11200560,행당1동
A,골목상권,3110119,마장지하차도,11200540,마장동
A,골목상권,3110120,서울숲카페거리,11200660,성수1가2동
A,골목상권,3110121,한양대역 4번,11200550,사근동
A,골목상권,3110122,마장역 2번,11200540,마장동
A,골목상권,3110123,마장역 3번,11200540,마장동
A,골목상권,3110124,뚝섬역교차로,11200660,성수1가2동
A,골목상권,3110125,사근동살곶이상점가,11200550,사근동
A,골목상권,3110126,서울숲역 1번,11200650,성수1가1동
A,골목상권,3110127,성수1가1동주민센터,11200650,성수1가1동
A,골목상권,3110128,성원중학교,11200650,성수1가1동
A,골목상권,3110157,자양동우체국,11215830,자양2동
A,골목상권,3110158,중곡3동주민센터,11215760,중곡3동
A,골목상권,3110159,구의역 4번,11215820,자양1동
A,골목상권,3110160,광진경찰서,11215850,구의1동
A,골목상권,3110137,성수초등학교,11200690,성수2가3동
A,골목상권,3110138,송정체육공원,11200720,송정동
A,골목상권,3110139,자양4동주민센터,11215847,자양4동
A,골목상권,3110140,건대입구역 6번,11215847,자양4동
A,골목상권,3110141,건대입구역 1번,11215710,화양동
A,골목상권,3110142,화양사거리,11215710,화양동
A,골목상권,3110144,어린이대공원역 4번,11215710,화양동
A,골목상권,3110145,장안초등학교,11215730,군자동
A,골목상권,3110146,신자초등학교,11215840,자양3동
A,골목상권,3110147,능동우편취급국,11215730,군자동
A,골목상권,3110148,어린이대공원역 3번,11215710,화양동
A,골목상권,3110149,세종대학교,11215730,군자동
A,골목상권,3110150,중곡1동 마을마당,11215740,중곡1동
A,골목상권,3110151,자양한강도서관,11215830,자양2동
A,골목상권,3110152,중곡어린이공원,11215740,중곡1동
A,골목상권,3110153,중곡1동주민센터,11215740,중곡1동
A,골목상권,3110156,군자역 5번,11215780,능동
A,골목상권,3110174,아차산역 1번,11215770,중곡4동
A,골목상권,3110175,푸른동산공원,11215870,구의3동
A,골목상권,3110178,장로회신학대학교,11215810,광장동
A,골목상권,3110179,광나루역 1번,11215810,광장동
A,골목상권,3110154,광진정말공원,11215820,자양1동
A,골목상권,3110155,광진구청,11215820,자양1동
A,골목상권,3110161,중곡역 3번,11215760,중곡3동
A,골목상권,3110162,군자역 4번,11215750,중곡2동
A,골목상권,3110143,뚝섬유원지역 1번,11215840,자양3동
A,골목상권,3110176,해오름공원,11215770,중곡4동
A,골목상권,3110177,동의초등학교,11215860,구의2동
A,골목상권,3110163,성자초등학교,11215830,자양2동
A,골목상권,3110164,아차산역 5번,11215780,능동
A,골목상권,3110165,국립정신건강센터,11215750,중곡2동
A,골목상권,3110166,구의1동주민센터,11215850,구의1동
A,골목상권,3110167,용마초등학교,11215750,중곡2동
A,골목상권,3110168,대원고등학교,11215770,중곡4동
A,골목상권,3110169,성동초등학교,11215830,자양2동
A,골목상권,3110170,동대부여고,11215850,구의1동
A,골목상권,3110171,중곡4동주민센터,11215770,중곡4동
A,골목상권,3110172,광진초등학교,11215860,구의2동
A,골목상권,3110173,구남초등학교,11215870,구의3동
A,골목상권,3110180,광진정보도서관,11215810,광장동
A,골목상권,3110181,신설동역 9번,11230536,용신동
A,골목상권,3110182,용두희망어린이공원,11230536,용신동
A,골목상권,3110183,한국의류시험연구원,11230536,용신동
A,골목상권,3110206,텃골근린공원,11230560,전농1동
A,골목상권,3110207,시립대앞사거리,11230560,전농1동
A,골목상권,3110208,시조사삼거리,11230710,회기동
A,골목상권,3110209,답십리 장령당공원,11230600,답십리1동
A,골목상권,3110184,용두사거리,11230536,용신동
A,골목상권,3110185,용두초등학교,11230536,용신동
A,골목상권,3110186,종암초등학교,11230545,제기동
A,골목상권,3110187,제기동역 6번,11230536,용신동
A,골목상권,3110188,용두동신동아아파트,11230536,용신동
A,골목상권,3110189,제기동역 1번,11230545,제기동
A,골목상권,3110190,고대앞사거리,11230545,제기동
A,골목상권,3110195,동대문구청,11230536,용신동
A,골목상권,3110196,홍릉근린공원,11230705,청량리동
A,골목상권,3110197,세종대왕기념관교차로,11230705,청량리동
A,골목상권,3110198,동대문중앙새마을금고본점,11230545,제기동
A,골목상권,3110199,홍릉시장,11230545,제기동
A,골목상권,3110200,동대문경찰서,11230705,청량리동
A,골목상권,3110201,전농119안전센터,11230560,전농1동
A,골목상권,3110202,전농1동주민센터(전농시장),11230560,전농1동
A,골목상권,3110203,떡전교사거리,11230705,청량리동
A,골목상권,3110191,고려대역 6번,11230545,제기동
A,골목상권,3110192,동의보감타워,11230536,용신동
A,골목상권,3110193,고려대역 4번,11230545,제기동
A,골목상권,3110194,홍파초등학교,11230545,제기동
A,골목상권,3110204,간데메공원,11230600,답십리1동
A,골목상권,3110205,경희대삼거리,11230710,회기동
A,골목상권,3110228,장안근린공원,11230660,장안2동
A,골목상권,3110229,장평중학교,11230650,장안1동
A,골목상권,3110230,장안현대홈타운1차아파트,11230660,장안2동
A,골목상권,3110231,장안교,11230660,장안2동
A,골목상권,3110232,동대부고,11230660,장안2동
A,골목상권,3110223,군자초등학교,11230650,장안1동
A,골목상권,3110224,외대앞역 2번,11230720,휘경1동
A,골목상권,3110225,촬영소사거리,11230610,답십리2동
A,골목상권,3110210,서울시립대,11230560,전농1동
A,골목상권,3110211,전곡마을마당공원,11230560,전농1동
A,골목상권,3110212,답십리초등학교,11230600,답십리1동
A,골목상권,3110213,청량초등학교,11230740,이문1동
A,골목상권,3110214,경희대후문,11230740,이문1동
A,골목상권,3110215,회기역 1번,11230720,휘경1동
A,골목상권,3110216,전농중학교,11230570,전농2동
A,골목상권,3110217,자동차부품상가,11230610,답십리2동
A,골목상권,3110218,답십리사거리,11230610,답십리2동
A,골목상권,3110219,삼육보건대학교,11230730,휘경2동
A,골목상권,3110220,외대앞역 1번,11230740,이문1동
A,골목상권,3110221,의릉,11290810,석관동
A,골목상권,3110222,회기역 2번,11230720,휘경1동
A,골목상권,3110226,장안1동주민센터,11230650,장안1동
A,골목상권,3110227,답십리공원,11230610,답십리2동
A,골목상권,3110254,오거리공원,11260570,면목7동
A,골목상권,3110255,상봉역 4번,11260590,상봉2동
A,골목상권,3110233,중랑역 1번,11260610,중화2동
A,골목상권,3110234,중랑역 4번,11260610,중화2동
A,골목상권,3110235,세화어린이공원,11260610,중화2동
A,골목상권,3110236,신묵초등학교,11260630,묵2동
A,골목상권,3110237,메가박스 상봉,11260520,면목2동
A,골목상권,3110238,배꽃어린이공원,11260610,중화2동
A,골목상권,3110239,중랑역 2번,11260610,중화2동
A,골목상권,3110243,중랑노인종합복지관,11260520,면목2동
A,골목상권,3110244,중화역 4번,11260610,중화2동
A,골목상권,3110245,KB국민은행 중화동지점,11260610,중화2동
A,골목상권,3110246,월드순복음교회,11260590,상봉2동
A,골목상권,3110247,먹골역 1번,11260620,묵1동
A,골목상권,3110248,먹골파출소,11260620,묵1동
A,골목상권,3110249,중화역 1번,11260600,중화1동
A,골목상권,3110250,화랑대역 7번,11260620,묵1동
A,골목상권,3110240,태릉시장 특화거리,11260610,중화2동
A,골목상권,3110241,먹골역 5번,11260630,묵2동
A,골목상권,3110242,면목5동주민센터,11260550,면목5동
A,골목상권,3110251,장안중학교,11260600,중화1동
A,골목상권,3110252,장안제일시장,11260550,면목5동
A,골목상권,3110253,중곡초등학교,11260540,면목4동
A,골목상권,3110277,러스크서울병원,11260655,망우본동
A,골목상권,3110278,망우본동주민센터,11260655,망우본동
A,골목상권,3110272,신내1동주민센터,11260680,신내1동
A,골목상권,3110273,장스여성병원,11260680,신내1동
A,골목상권,3110256,면목2동체육관,11260520,면목2동
A,골목상권,3110257,상봉역 7번,11260580,상봉1동
A,골목상권,3110258,면동초등학교,11260565,면목본동
A,골목상권,3110259,사가정역 1번,11260575,면목3·8동
A,골목상권,3110260,면목역 3번,11260565,면목본동
A,골목상권,3110261,사가정역 4번,11260570,면목7동
A,골목상권,3110262,상봉역 3번,11260590,상봉2동
A,골목상권,3110263,면목역 1번,11260565,면목본동
A,골목상권,3110264,면목역 2번,11260565,면목본동
A,골목상권,3110265,망우역 1번,11260580,상봉1동
A,골목상권,3110266,면목동우체국,11260575,면목3·8동
A,골목상권,3110267,망우역 2번,11260580,상봉1동
A,골목상권,3110268,망우3동주민센터,11260660,망우3동
A,골목상권,3110269,용마문화복지센터,11260575,면목3·8동
A,골목상권,3110270,혜원여고,11260660,망우3동
A,골목상권,3110271,신내역 1번,11260680,신내1동
A,골목상권,3110274,서일대학교,11260575,면목3·8동
A,골목상권,3110275,하나은행 망우동지점,11260655,망우본동
A,골목상권,3110276,신내IC북측,11260680,신내1동
A,골목상권,3110320,KB국민은행 종암동지점,11290705,종암동
A,골목상권,3110321,동덕여대,11290715,월곡1동
A,골목상권,3110322,장위1동주민센터,11290760,장위1동
A,골목상권,3110323,상월곡역 1번,11290725,월곡2동
A,골목상권,3110279,신내역 2번,11260680,신내1동
A,골목상권,3110280,북정마을,11290525,성북동
A,골목상권,3110281,길상사,11290525,성북동
A,골목상권,3110282,국민대학교앞,11290640,정릉3동
A,골목상권,3110283,성북초등학교앞,11290525,성북동
A,골목상권,3110284,정릉북한산국립공원입구,11290650,정릉4동
A,골목상권,3110285,홍대부중,11290525,성북동
A,골목상권,3110286,한성대입구역 5번,11290525,성북동
A,골목상권,3110287,정릉3동주민센터,11290640,정릉3동
A,골목상권,3110288,동구여중,11290525,성북동
A,골목상권,3110289,북한산보국문역 2번,11290640,정릉3동
A,골목상권,3110290,북한산보국문역 1번,11290650,정릉4동
A,골목상권,3110298,솔숲어린이공원,11290620,정릉1동
A,골목상권,3110299,정릉역 1번,11290620,정릉1동
A,골목상권,3110300,삼선동주민센터,11290600,안암동
A,골목상권,3110301,성신여대입구역 7번,11290575,동선동
A,골목상권,3110302,보문역 8번,11290610,보문동
A,골목상권,3110303,성신여대입구역 1번,11290575,동선동
A,골목상권,3110304,보문역 4번,11290600,안암동
A,골목상권,3110305,보문역 5번,11290600,안암동
A,골목상권,3110306,미아초등학교,11290660,길음1동
A,골목상권,3110307,길음역 7번,11290660,길음1동
A,골목상권,3110308,길음역 8번,11290685,길음2동
A,골목상권,3110309,대광초등학교,11290600,안암동
A,골목상권,3110291,한성대입구역 3번,11290555,삼선동
A,골목상권,3110292,정릉역 2번,11290630,정릉2동
A,골목상권,3110293,삼선중학교,11290525,성북동
A,골목상권,3110294,서경대학교,11290650,정릉4동
A,골목상권,3110295,정릉우체국,11290630,정릉2동
A,골목상권,3110296,성신여대입구역 4번,11290575,동선동
A,골목상권,3110297,경동고등학교,11290555,삼선동
A,골목상권,3110310,길음역 10번,11290685,길음2동
A,골목상권,3110311,종암아이파크2차후문,11290705,종암동
A,골목상권,3110312,안암역 2번,11290600,안암동
A,골목상권,3110313,안암역 3번,11290600,안암동
A,골목상권,3110314,종암경찰서,11290705,종암동
A,골목상권,3110315,종암아이파크2차,11290705,종암동
A,골목상권,3110316,숭곡초등학교,11290715,월곡1동
A,골목상권,3110317,종암중학교,11290705,종암동
A,골목상권,3110318,KT월곡지사,11290715,월곡1동
A,골목상권,3110319,종암동주민센터,11290705,종암동
A,골목상권,3110353,수유동우체국,11305625,수유2동
A,골목상권,3110354,삼각산119안전센터,11305575,삼각산동
A,골목상권,3110347,구세군강북종합사회복지관,11305534,삼양동
A,골목상권,3110348,강북문화예술회관,11305660,인수동
A,골목상권,3110349,화계역 2번,11305615,수유1동
A,골목상권,3110324,월곡역 4번,11290725,월곡2동
A,골목상권,3110325,장곡초등학교,11290760,장위1동
A,골목상권,3110326,장위동성당,11290760,장위1동
A,골목상권,3110327,상월곡역 2번,11290770,장위2동
A,골목상권,3110328,상월곡역 3번,11290810,석관동
A,골목상권,3110329,우리은행체육관,11290770,장위2동
A,골목상권,3110330,돌곶이역 1번,11290770,장위2동
A,골목상권,3110331,돌곶이역 8번,11290810,석관동
A,골목상권,3110332,돌곶이역 3번,11290770,장위2동
A,골목상권,3110333,돌곶이역 5번,11290810,석관동
A,골목상권,3110334,석관중앙교회,11290810,석관동
A,골목상권,3110335,석계역 7번,11290810,석관동
A,골목상권,3110336,석관고등학교,11290810,석관동
A,골목상권,3110337,아카데미하우스,11305660,인수동
A,골목상권,3110338,인수초등학교,11305660,인수동
A,골목상권,3110339,국립4.19민주묘지,11305645,우이동
A,골목상권,3110340,인수중학교,11305660,인수동
A,골목상권,3110341,북한산우이역 2번,11305645,우이동
A,골목상권,3110342,국립재활원,11305660,인수동
A,골목상권,3110343,무너미어린이공원,11305645,우이동
A,골목상권,3110344,화계중학교,11305615,수유1동
A,골목상권,3110366,광산사거리,11305635,수유3동
A,골목상권,3110345,솔밭공원역 2번,11305645,우이동
A,골목상권,3110346,4.19민주묘지역 2번,11305645,우이동
A,골목상권,3110350,가오리역 2번,11305660,인수동
A,골목상권,3110351,수유북부시장옆,11305660,인수동
A,골목상권,3110352,수유1동주민센터,11305615,수유1동
A,골목상권,3110371,삼양입구사거리,11305555,송천동
A,골목상권,3110372,강북중학교,11305635,수유3동
A,골목상권,3110355,삼양사거리역 2번,11305534,삼양동
A,골목상권,3110356,덕수교,11305625,수유2동
A,골목상권,3110357,가오리역 1번,11305625,수유2동
A,골목상권,3110360,수유초등학교,11305615,수유1동
A,골목상권,3110361,삼양사거리역 1번,11305555,송천동
A,골목상권,3110362,우이천 계성교,11305625,수유2동
A,골목상권,3110363,송천동주민센터,11305555,송천동
A,골목상권,3110364,미아역 8번,11305535,미아동
A,골목상권,3110365,미아역 5번,11305535,미아동
A,골목상권,3110358,인수동 우편취급국,11305635,수유3동
A,골목상권,3110359,수유시장옆,11305635,수유3동
A,골목상권,3110367,강북구청,11305635,수유3동
A,골목상권,3110368,송천초등학교,11305555,송천동
A,골목상권,3110369,성신여대운정그린캠퍼스,11305535,미아동
A,골목상권,3110370,도봉세무서,11305555,송천동
A,골목상권,3110396,쌍문역1번(쌍리단길),11320511,창1동
A,골목상권,3110397,도봉산입구,11320521,도봉1동
A,골목상권,3110398,쌍문2동우체국,11320670,쌍문2동
A,골목상권,3110399,창2동주민센터,11320512,창2동
A,골목상권,3110390,방학초등학교,11320700,방학2동
A,골목상권,3110391,샘말어린이공원,11320700,방학2동
A,골목상권,3110392,발바닥공원,11320681,쌍문4동
A,골목상권,3110393,국민은행방학지점,11320710,방학3동
A,골목상권,3110373,수유역 2번,11305595,번1동
A,골목상권,3110374,송중초등학교,11305545,송중동
A,골목상권,3110375,서울북부고용노동지청,11305603,번2동
A,골목상권,3110376,수송초등학교,11305595,번1동
A,골목상권,3110377,미아사거리역 3번,11305545,송중동
A,골목상권,3110378,송중동주민센터,11305545,송중동
A,골목상권,3110379,KT&G 북부지사,11305595,번1동
A,골목상권,3110380,강북문화정보도서관,11305603,번2동
A,골목상권,3110381,번동주공2단지,11305608,번3동
A,골목상권,3110382,솔밭공원역 1번,11320660,쌍문1동
A,골목상권,3110383,덕성여대시반거리,11320660,쌍문1동
A,골목상권,3110384,문이교,11320660,쌍문1동
A,골목상권,3110780,신길대성유니드아파트,11560670,신길5동
A,골목상권,3110781,대림한신아파트,11560700,대림1동
A,골목상권,3110782,영등포시장역 4번,11560535,영등포동
A,골목상권,3110783,영등포시장역 1번,11560535,영등포동
A,골목상권,3110385,효문고등학교,11320660,쌍문1동
A,골목상권,3110386,연산군묘,11320710,방학3동
A,골목상권,3110387,쌍문초등학교,11320660,쌍문1동
A,골목상권,3110388,도봉우체국,11320680,쌍문3동
A,골목상권,3110389,한일병원,11320680,쌍문3동
A,골목상권,3110394,방학중학교,11320700,방학2동
A,골목상권,3110395,신한은행 방학동지점,11320690,방학1동
A,골목상권,3110430,중계초등학교,11350624,중계4동
A,골목상권,3110431,상계역,11350624,중계4동
A,골목상권,3110480,연신내역 3번,11380520,불광1동
A,골목상권,3110481,불광역 7번,11380570,대조동
A,골목상권,3110455,역촌노인복지관,11380625,역촌동
A,골목상권,3110456,구산보건지소,11380560,구산동
A,골목상권,3110457,예일여고,11380560,구산동
A,골목상권,3110505,홍남교남측,11410615,연희동
A,골목상권,3110506,연희임광아파트,11410615,연희동
A,골목상권,3110483,연천초등학교,11380520,불광1동
A,골목상권,3110484,역촌역 3번,11380510,녹번동
A,골목상권,3110470,신진과학기술고등학교,11380580,응암1동
A,골목상권,3110471,응암동우체국,11380590,응암2동
A,골목상권,3110517,서대문소방서,11410615,연희동
A,골목상권,3110518,서대문구청,11410615,연희동
A,골목상권,3110491,불광중학교,11380530,불광2동
A,골목상권,3110492,하나고등학교,11380690,진관동
